city,AQI,PM2.5/1h,PM10/h,CO/1h,NO2/1h,O3/1h,O3/8h,SO2/1h
阿坝州,33,12,19,0.7,8,77,65,8
阿克苏地区,86,51,120,1.5,25,57,57,7
阿拉善盟,55,38,47,0.7,14,83,70,14
阿勒泰地区,81,59,46,1.0,40,47,39,153
阿里地区,75,54,90,1.0,41,25,26,4
安康,122,92,112,1.37,30,56,39,27
安庆,170,128,134,0.83,22,123,124,13
鞍山,36,14,35,0.93,16,71,43,23
安顺,75,54,60,1.05,20,43,51,30
安阳,142,108,177,2.42,41,51,26,38
白城,39,24,38,0.55,16,64,57,10
百色,40,25,39,1.15,12,77,43,11
白山,80,44,108,1.1,15,68,33,25
白银,93,51,134,1.5,39,33,25,49
保定,52,19,52,0.43,13,80,34,10
宝鸡,56,32,60,0.8,23,66,43,13
保山,66,43,80,0.6,25,84,63,15
包头,52,27,52,1.28,24,68,52,24
巴彦淖尔,45,18,44,0.6,17,63,51,12
巴中,82,60,82,1.13,36,47,36,4
北海,46,32,32,1.33,11,59,52,9
北京,48,9,47,0.34,10,68,63,2
蚌埠,226,175,195,1.3,33,76,43,31
本溪,41,8,40,0.6,6,72,56,12
毕节,92,68,86,1.3,20,65,76,10
滨州,104,77,130,0.8,24,51,17,13
博州,68,47,83,1.8,25,30,25,24
亳州,172,130,169,1.3,33,63,38,24
沧州,69,39,86,0.45,24,70,23,21
长春,56,35,59,0.84,21,63,36,32
常德,132,100,111,1.28,24,90,53,20
昌都,59,23,66,0.8,11,72,33,7
昌都地区,29,6,12,0.7,11,86,57,8
昌吉州,185,139,115,2.03,46,51,43,36
长沙,138,105,0,0.93,27,79,67,10
常熟,127,96,139,1.55,35,83,65,38
长治,57,31,62,0.8,25,70,48,42
常州,168,127,143,1.59,47,56,37,29
朝阳,40,6,39,0.63,8,91,70,15
潮州,16,4,15,0.73,13,31,29,7
承德,54,9,56,0.36,6,82,79,5
成都,131,99,133,1.4,63,23,24,14
郴州,86,63,85,1.1,19,57,67,8
赤峰,28,7,19,0.48,12,62,55,9
池州,186,140,156,0.9,18,95,92,21
重庆,71,51,69,1.17,47,14,11,16
崇左,26,16,23,0.85,12,70,51,6
楚雄州,73,25,94,1.15,21,79,20,17
滁州,226,175,197,1.23,28,84,50,15
大连,75,12,98,0.55,11,75,67,10
大理州,42,23,29,0.9,14,90,83,6
丹东,35,16,34,0.83,11,67,31,20
大庆,27,15,25,0.46,18,67,52,49
大同,62,34,72,0.95,14,62,36,33
大兴安岭地,0,0,0,0.0,0,0,0,0
大兴安岭地区,72,47,92,0.45,13,82,47,26
达州,130,98,133,1.26,40,58,35,16
德宏州,86,63,96,1.1,42,43,15,15
德阳,97,72,95,1.2,26,53,55,5
德州,77,50,101,1.57,22,71,27,22
定西,104,77,117,1.35,33,48,25,87
迪庆州,62,39,71,0.7,12,84,63,12
东莞,17,10,14,0.8,26,37,33,6
东营,103,54,154,0.73,22,58,27,29
鄂尔多斯,39,7,27,0.72,12,86,76,8
恩施州,86,63,79,1.3,24,33,14,7
鄂州,113,84,110,1.5,26,75,63,13
防城港,33,23,31,0.77,12,51,45,7
佛山,25,13,24,0.84,26,20,21,4
抚顺,29,10,28,0.47,13,74,42,14
阜新,34,4,33,0.36,4,82,62,6
阜阳,200,150,175,1.03,25,70,40,10
富阳,0,0,0,0.0,0,0,0,0
福州,16,9,15,0.63,23,41,31,5
抚州,55,38,48,0.68,12,82,69,6
甘南州,110,82,0,0.7,32,80,75,100
赣州,72,52,56,1.0,17,52,51,4
甘孜藏族自治州,51,19,50,0.4,9,47,41,5
甘孜州,60,42,48,0.9,12,68,65,17
广安,81,59,89,0.82,29,40,17,29
广元,67,47,82,0.93,32,58,62,21
广州,24,14,23,0.9,29,26,23,6
贵港,61,43,50,0.55,10,70,67,9
桂林,83,61,0,0.88,13,90,80,13
贵阳,72,52,61,0.79,17,66,61,22
果洛州,108,80,99,1.3,41,99,68,123
固原,41,22,40,0.77,11,79,53,16
哈尔滨,70,50,81,0.92,25,58,31,36
海北州,97,72,109,1.2,33,76,46,24
海东地区,104,77,131,2.4,36,35,18,60
海口,17,7,16,0.82,10,23,18,4
海门,86,63,76,0.85,21,58,52,13
海南州,114,85,107,1.1,14,72,37,20
海西州,42,19,24,0.5,6,87,82,17
哈密地区,93,54,133,3.4,22,49,32,11
邯郸,73,45,94,3.13,47,47,25,66
杭州,161,122,148,1.48,28,84,72,20
汉中,87,64,83,1.4,19,73,39,26
鹤壁,96,71,115,2.23,40,48,20,31
河池,69,49,77,1.03,10,94,85,12
合肥,199,149,0,1.26,23,87,72,11
鹤岗,36,15,24,0.37,6,79,70,9
黑河,38,9,14,0.7,4,77,75,9
衡水,59,33,66,0.63,20,72,40,14
衡阳,137,104,108,0.95,30,70,66,12
和田地区,358,140,465,1.3,23,45,40,12
河源,24,16,20,0.8,14,40,46,5
菏泽,241,190,248,1.57,30,66,22,13
贺州,77,56,79,0.65,9,69,65,7
红河州,69,36,85,1.0,16,16,15,17
淮安,124,93,147,1.24,37,71,34,21
淮北,263,212,256,1.57,48,41,22,22
怀化,111,83,113,1.14,16,87,74,15
淮南,265,214,282,1.08,31,71,45,11
黄冈,99,74,96,0.9,15,83,71,7
黄南州,153,116,172,1.7,23,70,49,61
黄山,108,80,95,0.83,12,80,66,11
黄石,94,70,88,1.1,29,69,49,17
呼和浩特,69,32,86,1.19,26,53,33,35
惠州,22,9,17,0.88,18,40,43,4
葫芦岛,52,20,52,0.95,10,84,47,22
呼伦贝尔,30,14,22,0.65,14,65,59,8
湖州,153,116,118,1.39,50,70,59,24
佳木斯,33,17,25,0.33,6,80,65,6
吉安,83,61,72,0.38,11,61,50,9
江门,33,18,32,0.88,31,13,16,6
江阴,205,154,180,1.45,34,89,59,32
胶南,119,89,173,0.85,14,70,48,15
胶州,146,111,167,1.1,29,71,34,34
焦作,50,15,49,1.1,19,69,58,33
嘉兴,188,141,157,1.6,28,86,68,23
嘉峪关,68,22,83,0.85,22,56,58,20
揭阳,26,8,25,0.73,17,33,29,8
吉林,29,11,24,0.77,12,75,57,19
即墨,121,91,164,1.25,33,57,21,24
济南,218,167,237,1.66,54,49,21,29
金昌,65,31,78,0.8,16,66,48,116
晋城,44,11,43,0.55,16,67,54,20
景德镇,65,46,51,0.54,9,63,52,5
荆门,165,125,138,1.62,45,68,54,21
荆州,182,137,180,1.5,29,93,73,26
金华,76,55,63,0.87,24,63,52,13
济宁,253,202,242,1.93,35,51,17,36
金坛,230,179,215,1.6,31,103,56,26
晋中,71,47,89,1.27,29,54,23,90
锦州,45,13,44,0.64,12,73,41,25
九江,105,78,76,0.7,15,88,81,14
酒泉,64,27,76,1.0,25,63,71,46
鸡西,25,12,18,0.28,8,62,49,5
句容,276,225,259,1.65,57,51,29,36
开封,74,22,96,0.9,19,59,42,21
喀什地区,177,133,213,2.35,35,31,31,1
克拉玛依,67,48,68,0.88,15,43,34,12
克州,83,35,114,0.8,7,67,69,2
库尔勒,65,29,78,1.37,23,54,55,4
昆明,72,52,57,1.27,29,30,14,11
昆山,175,132,163,1.5,31,89,66,23
来宾,71,51,59,0.7,8,80,71,8
莱芜,206,155,209,1.3,39,61,17,24
莱西,94,52,136,0.7,18,65,34,15
莱州,92,60,131,0.95,23,61,28,23
廊坊,55,12,58,0.75,21,70,44,5
兰州,97,70,142,2.4,63,28,20,42
拉萨,64,26,76,0.67,18,74,60,6
乐山,125,94,120,1.56,32,52,21,15
凉山州,43,27,42,1.32,16,84,69,22
连云港,120,90,100,1.2,35,62,33,27
聊城,141,107,162,0.93,30,73,27,14
辽阳,27,6,15,0.53,6,74,52,15
辽源,25,17,23,0.7,13,59,49,13
丽江,52,32,51,0.97,7,101,79,13
临安,150,115,131,1.8,15,81,76,18
临沧,66,46,80,1.3,37,67,42,25
临汾,31,9,30,0.68,15,58,50,36
临夏州,89,66,89,1.6,19,53,34,25
